COUNTY NAME,Adult (15+) HIV prevalence,New Hiv Infections (Adults 15+),New Hiv Infections (Children 0-14),ART Coverage,HIV+ Adults,Total Population,Hiv Prevalence (men),Hiv Prevalence (women),inverse women prevalence,POE-Prevention of mother-to-child transmission,POE-voluntering and testing,POE-Tuberculosis,POE-Medical ward,POE-Overral,Adults in need of ART,Adults receiving ART,Children in need of ART,Children receiving ART,No.of households with an  orphan,poor households with an orphan,(KES) cash transfer beneficiary poor households with an orphan,Aids related Deaths (15+),Aids related Deaths (0-14),Coordinates
BARINGO,3%,707,34,53%,9194,632588,2.9%,3.2%,-3.2%,34%,56%,3%,6%,1%,4498,2406,952,345,11249,5512,2241,525,73,"(0.669251980315, 35.946465352700)"
BOMET,5.8%,1875,89,38%,24389,824347,4.5%,8.7%,-8.7%,35%,56%,3%,6%,0%,11930,4511,2525,407,16664,8165,2865,1393,195,"(-0.726294583441, 35.298597586700)"
BUNGOMA,3.2%,83,93,64%,26093,1750634,2.4%,6%,-6%,38%,58%,1%,3%,0%,17164,10982,3578,1140,30493,14942,5426,864,249,"(0.749285239620, 34.640460875600)"
BUSIA,6.8%,51,57,183%,16065,523875,5.6%,13.9%,-13.9%,39%,57%,1%,3%,0%,10588,19398,2207,1657,27068,13263,6767,533,153,"(0.387443677554, 34.193631488400)"
ELEGEYO-MARAKWET,2.5%,400,19,38%,5208,421282,5%,1.5%,-1.5%,38%,59%,1%,2%,0%,2542,978,538,89,6287,3081,1412,297,42,"(0.802219000000, 35.536563000000)"
EMBU,3.7%,518,28,93%,9641,543158,1.5%,2.8%,-2.8%,38%,59%,1%,2%,0%,5540,5130,1046,513,12808,6276,3638,326,63,"(-0.603974377553, 37.626501326500)"
GARISSA,2.1%,116,14,48%,3262,,4.5%,0.7%,-0.7%,38%,59%,1%,2%,0%,1649,786,755,73,8532,4181,1687,521,69,"(-0.488910344831, 40.199278537800)"
HOMA BAY,25.7%,12279,2700,70%,140629,1053465,17.8%,29.1%,-29.1%,38%,59%,1%,2%,0%,70837,46738,15235,6331,60958,29896,8107,3395,1234,"(-0.542809394155, 34.358996868700)"
ISIOLO,4.2%,151,8,60%,2822,150817,2.3%,5.7%,-5.7%,34%,58%,3%,5%,0%,1616,969,605,92,4323,2118,2437,95,18,"(1.010443077530, 38.542153120600)"
KAJIADO,4.4%,1545,74,53%,20080,782409,,15.6%,-15.6%,34%,58%,3%,5%,0%,9827,5219,2080,372,15482,7586,1416,1147,161,"(-2.121383577860, 36.908842193000)"
