Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,County,Constituency,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation,Facility Type NAME
29,KIAMBU DISTRICT HOSPITAL,251,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA S/AREA,KIAMBU,GATUNDU NORTH,TOWNSHIP(KIAMBAA),GPS,1,MOH,"(-1.16938000000, 36.82993000000)","Hospital Moh and Mission Districts, sub-districts"
36,KIJABE HOSPITAL,252,CENTRAL,KIAMBU,LARI,KIJABE,KIAMBU,GATUNDU NORTH,KIJABE,GPS,1,MISS,"(-0.94349000000, 36.59431000000)","Hospital Moh and Mission Districts, sub-districts"
51,NAZARETH HOSPITAL,255,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,KIAMBU,GATUNDU NORTH,KARAMBAINI,1:50000 MAPS,1,MISS,"(-1.13378000000, 36.72570000000)","Hospital Moh and Mission Districts, sub-districts"
62,P.C.E.A. KIKUYU HOSPITAL,2441,CENTRAL,KIAMBU,KIKUYU,KIKUYU,KIAMBU,GATUNDU NORTH,KIKUYU TOWNSHIP,DDP,1,MISS,"(-1.26667000000, 36.66670000000)","Hospital Moh and Mission Districts, sub-districts"
66,TIGONI SUB-DISTRICT HOSPITAL,257,CENTRAL,KIAMBU,LIMURU,TIGONI,KIAMBU,GATUNDU NORTH,ITHANJI(KIAMBU),DDP,1,MOH,"(-1.12859000000, 36.64930000000)","Hospital Moh and Mission Districts, sub-districts"
30,KERUGOYA DISTRICT HOSPITAL,301,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KIRINYAGA,GICHUGU,KAGUYU(CENTRAL),GPS,1,MOH,"(-0.50132000000, 37.28050000000)","Hospital Moh and Mission Districts, sub-districts"
52,MWEA MISS HOSPITAL,302,CENTRAL,KIRINYAGA,MWEA,THIBA,KIRINYAGA,GICHUGU,NGUKA,GPS,1,MISS,"(-0.66137000000, 37.34924000000)","Hospital Moh and Mission Districts, sub-districts"
3,GAICHANJIRU MISSION HOSPITAL,388,CENTRAL,MARAGUA,KANDARA,ITHIRU,MURANG'A,MATHIOYA,GAKUI/KARIMAMWARO,DHMT,1,MISS,"(-0.85276500000, 36.97744500000)","Hospital Moh and Mission Districts, sub-districts"
18,MARAGUA DISTRICT HOSPITAL (RHTC),395,CENTRAL,MARAGUA,MARAGUA,NGINDA,MURANG'A,MATHIOYA,GAKOIGO,GPS,1,MOH,"(-0.78693000000, 37.12663000000)","Hospital Moh and Mission Districts, sub-districts"
36,KIRIAINI MISS. HOSPITAL,2379,CENTRAL,MURANGA,MATHIOYA,KIRU,MURANG'A,MATHIOYA,KIRIAINI(MURANGA),DDP,1,MISS,"(-0.59746700000, 36.94820000000)","Hospital Moh and Mission Districts, sub-districts"
45,MURANGA DISTRICT HOSPITAL,393,CENTRAL,MURANGA,KIHARU,TOWNSHIP,MURANG'A,MATHIOYA,KARURI(MURANGA),GPS,1,MOH,"(-0.71587000000, 37.15985000000)","Hospital Moh and Mission Districts, sub-districts"
47,MURIRANJAS SUB-DISTRICT HOSP.,394,CENTRAL,MURANGA,KAHURO,MUGOIRI,MURANG'A,MATHIOYA,KAHURO,GPS,1,MOH,"(-0.74315000000, 36.97306000000)","Hospital Moh and Mission Districts, sub-districts"
34,NORTH KINANGOP CATHOLIC HOSPITAL,436,CENTRAL,NYANDARUA,NORTH KINANGOP,ENGINEER,NYANDARUA,KIPIPIRI,GATHARA,HD MAPS,1,MISS,"(-0.59920000000, 36.58330000000)","Hospital Moh and Mission Districts, sub-districts"
37,NYAHURURU DISTRICT HOSPITAL,437,CENTRAL,NYANDARUA,OL JORO OROK,GATIMU,NYANDARUA,KIPIPIRI,GIKINGI,DDP,1,MOH,"(0.02327400000, 36.34180000000)","Hospital Moh and Mission Districts, sub-districts"
42,OL'KALOU DISTRICT HOSPITAL,438,CENTRAL,NYANDARUA,OL KALOU,OL KALOU,NYANDARUA,KIPIPIRI,MUNYEKI,HD MAPS,1,MOH,"(-0.27070000000, 36.37350000000)","Hospital Moh and Mission Districts, sub-districts"
6,CONSOLATA HOSPITAL MATHARI,496,CENTRAL,NYERI,MUNICIPALITY,MUKARO,NYERI,KIENI,MATHARI,GPS,1,MISS,"(-0.41129000000, 36.91898000000)","Hospital Moh and Mission Districts, sub-districts"
41,KARATINA SUB-DISTRICT HOSPITAL,495,CENTRAL,NYERI,MATHIRA,KARATINA,NYERI,KIENI,CHERU,GPS,1,MOH,"(-0.47339000000, 37.12943000000)","Hospital Moh and Mission Districts, sub-districts"
54,MARY IMMACULATE HOSP. MWEIGA,1694,CENTRAL,NYERI,KIENI WEST,MWEIGA,NYERI,KIENI,KAMATONGU,HD MAPS,1,MISS,"(-0.31667000000, 36.90000000000)","Hospital Moh and Mission Districts, sub-districts"
57,MT. KENYA HOSPITAL,497,CENTRAL,NYERI,MUNICIPALITY,MUKARO,NYERI,KIENI,MAJENGO(NYERI),GPS,1,MOH,"(-0.42414000000, 36.93414000000)","Hospital Moh and Mission Districts, sub-districts"
59,MUKURWENI SUB-DISTRICT HOSP.,498,CENTRAL,NYERI,MUKURWE-INI,MUHITO,NYERI,KIENI,GATURIA,GPS,1,MOH,"(-0.55924000000, 37.04464000000)","Hospital Moh and Mission Districts, sub-districts"
75,OTHAYA SUB-DISTRICT HOSPITAL,500,CENTRAL,NYERI,OTHAYA,IRIA-INI,NYERI,KIENI,KIAHAGU,GPS,1,MOH,"(-0.53990000000, 36.93995000000)","Hospital Moh and Mission Districts, sub-districts"
82,TUMUTUMU MISS. HOSPITAL,501,CENTRAL,NYERI,MATHIRA,KIRIMUKUYU,NYERI,KIENI,MBOGOINI,GPS,1,MISS,"(-0.48549000000, 37.07946000000)","Hospital Moh and Mission Districts, sub-districts"
9,GATUNDU GENERAL SUB-DISTRICT HOSPITAL,250,CENTRAL,THIKA,GATUNDU,NGENDA,KIAMBU,GATUNDU NORTH,ITURU,1:50000 MAPS,1,MOH,"(-1.00023200000, 36.90231200000)","Hospital Moh and Mission Districts, sub-districts"
27,KILIMAMBOGO MISS. HOSPITAL,254,CENTRAL,THIKA,MUNICIPALITY,GATUANYAGA,KIAMBU,GATUNDU NORTH,GATUANYAGA,DDP,1,MISS,"(-1.07120000000, 37.22020000000)","Hospital Moh and Mission Districts, sub-districts"
37,MARY HELP OF THE SICK  MISSION HOSPITAL,0,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,KOMU,1:50000 MAPS,1,MISS,"(-1.04683800000, 37.06891900000)","Hospital Moh and Mission Districts, sub-districts"
58,OAKLANDS HOSPITAL,2406,CENTRAL,THIKA,RUIRU,RUIRU,KIAMBU,GATUNDU NORTH,MUGUTHA,1:50000 MAPS,1,MISS,"(-1.13513500000, 36.96486500000)","Hospital Moh and Mission Districts, sub-districts"
60,ST LUKE'S HOSPITAL,4752,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,KOMU,ILRI TOWNS,1,MISS,"(-1.04874200000, 37.07956700000)","Hospital Moh and Mission Districts, sub-districts"
61,ST. MULUMBA CATHOLIC HOSPITAL,4754,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,MAJENGO(THIKA),DDP,1,MISS,"(-1.07798000000, 37.13460000000)","Hospital Moh and Mission Districts, sub-districts"
62,THIKA DISTRICT HOSPITAL,256,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,MAJENGO(THIKA),DDP,1,MOH,"(-1.03678000000, 37.07760000000)","Hospital Moh and Mission Districts, sub-districts"
16,KILIFI DISTRICT HOSPITAL,565,COAST,KILIFI,BAHARI,KILIFI TOWNSHIP,KILIFI,KALOLENI,HOSPITAL(KILIFI),DANIDA,1,MOH,"(-3.63205000000, 39.85722000000)","Hospital Moh and Mission Districts, sub-districts"
30,ST. LUKE'S KALOLENI HOSPITAL,2938,COAST,KILIFI,KALOLENI,KALOLENI,KILIFI,KALOLENI,KALOLENI/VISH/TSAKA,KEMRI-KILIFI PROJECT,1,MISS,"(-3.81660000000, 39.63340000000)","Hospital Moh and Mission Districts, sub-districts"
12,KINANGO SUB-DISTRICT HOSPITAL,609,COAST,KWALE,KINANGO,KINANGO,KWALE,KINANGO,KINANGO,GPS,1,MOH,"(-4.13986000000, 39.31320000000)","Hospital Moh and Mission Districts, sub-districts"
14,KWALE SUB-DISTRICT HOSPITAL,610,COAST,KWALE,MATUGA,GOLINI,KWALE,KINANGO,GOLINI,GPS,1,MOH,"(-4.17514000000, 39.45600000000)","Hospital Moh and Mission Districts, sub-districts"
36,MSAMBWENI DISTRICT HOSPITAL,611,COAST,KWALE,MSAMBWENI,MSAMBWENI,KWALE,KINANGO,VINGUJINI,GPS,1,MOH,"(-4.48007000000, 39.47080000000)","Hospital Moh and Mission Districts, sub-districts"
12,LAMU DISTRICT HOSPITAL,631,COAST,LAMU,AMU,SHELLA MANDA,LAMU,LAMU WEST,SHELLA(LAMU),DANIDA,1,MOH,"(-2.27857000000, 40.90676900000)","Hospital Moh and Mission Districts, sub-districts"
21,MUKOWE HOSPITAL,0,COAST,LAMU,HINDI,MOKOWE,LAMU,LAMU WEST,MOKOWE,HD MAPS,1,MOH,"(-2.23432500000, 40.86067400000)","Hospital Moh and Mission Districts, sub-districts"
6,GALANA HOSPITAL,564,COAST,MALINDI,MALINDI,MALINDI,KILIFI,KALOLENI,SABAKI,AMKENI,1,MISS,"(-3.19748300000, 40.11633500000)","Hospital Moh and Mission Districts, sub-districts"
15,MALINDI DISTRICT HOSPITAL,566,COAST,MALINDI,MALINDI,MALINDI,KILIFI,KALOLENI,BARANI,KEMRI-KILIFI PROJECT,1,MOH,"(-3.21650000000, 40.11820000000)","Hospital Moh and Mission Districts, sub-districts"
26,TAWFIQ MUSLIM HOSPITAL,2940,COAST,MALINDI,MALINDI,MALINDI,KILIFI,KALOLENI,SHELLA(MALINDI),AMKENI,1,MISS,"(-3.22093700000, 40.11269800000)","Hospital Moh and Mission Districts, sub-districts"
49,PORT REITZ DISTRICT HOSPITAL,700,COAST,MOMBASA,CHANGAMWE,PORT REITZ,MOMBASA,KISAUNI,PORT REITZ,AMKENI,1,MOH,"(-4.03926700000, 39.60286700000)","Hospital Moh and Mission Districts, sub-districts"
59,UKUMBUSHO CPK HOSP,702,COAST,MOMBASA,ISLAND,GANJONI,MOMBASA,KISAUNI,KIZINGO(MOMBASA),DSA/DFH(MOH)-UNFPA REPORT,1,MISS,"(-4.06803500000, 39.68143000000)","Hospital Moh and Mission Districts, sub-districts"
19,MOI VOI DISTRICT HOSPITAL,739,COAST,TAITA TAVETA,VOI,VOI,TAITA TAVETA,WUNDANYI,KALOLENI(TAVETA),DANIDA,1,MOH,"(-3.39091000000, 38.56205000000)","Hospital Moh and Mission Districts, sub-districts"
34,TAVETA DISTRICT HOSPITAL,740,COAST,TAITA TAVETA,TAVETA,BOMANI,TAITA TAVETA,WUNDANYI,MBOGHONI,DANIDA,1,MOH,"(-3.39870000000, 37.67725000000)","Hospital Moh and Mission Districts, sub-districts"
37,WESU DISTRICT HOSPITAL,741,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,TAITA TAVETA,WUNDANYI,WUNDANYI,DANIDA,1,MOH,"(-3.40885000000, 38.34215900000)","Hospital Moh and Mission Districts, sub-districts"
15,HOLA DISTRICT HOSPITAL,795,COAST,TANA RIVER,GALORE,KIARIKUNGU,TANA RIVER,GALOLE,KIARIKUNGU,DANIDA,1,MOH,"(-1.49880000000, 40.03025100000)","Hospital Moh and Mission Districts, sub-districts"
44,NGAO SUB-DISTRICT HOSPITAL,796,COAST,TANA RIVER,GARSEN,KIPAO,TANA RIVER,GALOLE,KIPAO,DANIDA,1,MOH,"(-2.41221000000, 40.20109900000)","Hospital Moh and Mission Districts, sub-districts"
1,CHAARIA MISSION HOSP,3043,EASTERN,CENTRAL MERU,ABOTHUGUCHI EAST,NDURUMA,MERU,NORTH IMENTI,GAITU,DSA/DFH(MOH)-UNFPA REPORT,1,MISS,"(0.00629200000, 37.76840000000)","Hospital Moh and Mission Districts, sub-districts"
